Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Albania,ALB,..,..,2.1,0.6,0.7,0.7,0.5,0.2,0.2,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Angola,AGO,..,17.7,..,..,..,..,24.5,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Argentina,ARG,..,4.8,0.7,..,0.8,0.7,1,1.1,1.2,1,0.8,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Armenia,ARM,..,..,2.3,2.1,1.9,1.6,2.1,1.9,1.2,1.6,1.8,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Australia,AUS,..,..,0.4,..,0.4,..,0.5,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Austria,AUT,..,0.1,0.2,0.6,0.6,0.3,0.5,0.6,0.7,0.4,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Bangladesh,BGD,..,27,..,..,15,..,..,..,..,..,7.3,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Belarus,BLR,..,13.7,0,0,0,0,0,0,0,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Belgium,BEL,..,0.3,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Benin,BEN,..,..,..,40.6,..,..,18.2,..,..,13.2,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Bhutan,BTN,..,..,..,..,..,1.9,..,..,..,..,0.1,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Bolivia,BOL,3.6,21.2,3.8,4,4.8,4.1,3,1.9,2.5,1.8,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Botswana,BWA,..,..,..,13.6,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Brazil,BRA,19.5,..,3.1,3.4,4.2,4.5,4.5,4.5,1.8,4.7,3.1,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Bulgaria,BGR,..,..,1.5,2.8,1.8,1.2,0.8,1,0.4,0.7,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Burkina Faso,BFA,..,..,30.3,..,..,..,25.2,..,..,21.9,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Burundi,BDI,..,..,..,..,..,..,..,..,45.3,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Cabo Verde,CPV,..,..,..,5.3,..,..,..,..,..,..,..,..
