country_name,country_code,status,access_to_electricity,gross_domestic_income,life_expectancy,control_of_corruption_percentile,control_of_corruption_estimate,population_0_14%,population_65_above_total,population_15_64_total,consumer_price_index_2010,inflation_annual%,gdp_current_usd,gdp_growth_annual%,gdp_per_capita_current_usd,imports_%gdp,military_expenditure_%gdp,high_technology_exports_usd,freedom_status,political_rights,civil_liberties,total_freedom_score
Afghanistan,AFG,0.0,85.3,1010000000000.0,62.88,12.26,-1.18,43.13,984763,22404909,156.81,7.949999999999999,14502158192.0,-6.24,352.6,54.51,1.45,77454299.5,Not Free,1.0,5.0,6.0
Albania,ALB,0.0,100.0,1770000000000.0,76.83,38.68,-0.41,16.15,462629,1866557,131.75,6.73,18916378861.0,4.86,6810.11,47.75,1.58,886411.0,Partly Free,28.0,40.0,68.0
Algeria,DZA,0.0,100.0,26400000000000.0,77.13,28.3,-0.64,30.64,2868322,28275097,181.62,9.27,226000000000.0,3.6,5023.25,20.39,4.78,77454299.5,Not Free,10.0,22.0,32.0
Andorra,AND,0.0,100.0,1335000000000.0,73.045,88.68,1.27,12.8,11948,57663,142.415,8.0,3380602043.0,9.56,42350.7,47.81,1.46,43398343.0,Free,38.0,55.0,93.0
Angola,AGO,0.0,48.5,1470000000000.0,61.93,30.66,-0.6,45.02,925334,18643225,708.32,21.36,104000000000.0,3.05,2933.48,25.3,1.33,77204455.0,Not Free,10.0,18.0,28.0
Antigua and Barbuda,ATG,0.0,100.0,1710000000000.0,79.24,63.21,0.31,18.55,9956,66416,127.48,7.53,1867733333.0,9.52,19919.73,62.94,1.45,0.0,Free,33.0,52.0,85.0
Argentina,ARG,0.0,100.0,782000000000.0,76.06,36.32,-0.45,23.05,5510419,30065743,156.81,7.949999999999999,631000000000.0,4.96,13650.6,15.35,0.41,663679612.0,Free,35.0,50.0,85.0
Armenia,ARM,0.0,100.0,6100000000000.0,73.37,56.13,0.03,20.48,365584,1845507,152.24,8.64,19513474648.0,12.6,7018.05,50.99,4.32,476798137.0,Partly Free,23.0,31.0,54.0
Aruba,ABW,0.0,99.9,1335000000000.0,74.99,77.83,0.76,16.24,17182,71975,142.415,8.0,3544707788.0,10.46,33300.84,77.33,1.46,1735161.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Australia,AUS,1.0,100.0,2330000000000.0,83.2,95.28,1.76,18.18,4396976,16887993,132.47,6.59,1690000000000.0,4.27,65077.68,19.71,1.9,7759351128.0,Free,38.0,57.0,95.0
Austria,AUT,1.0,100.0,369000000000.0,81.09,84.91,1.26,14.38,1790922,5950883,133.51,8.55,471000000000.0,4.81,52084.68,61.6,0.77,26998954256.0,Free,37.0,56.0,93.0
Azerbaijan,AZE,0.0,100.0,1710000000000.0,73.49,16.98,-1.04,23.48,720841,7039605,195.76,13.85,78807470588.0,4.71,7770.59,27.0,4.55,49457683.0,Not Free,0.0,7.0,7.0
"Bahamas, The",BHS,0.0,100.0,11859249071.0,74.36,84.43,1.26,19.06,36452,295378,126.35,5.61,13136400000.0,10.78,32041.25,43.75,1.46,0.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Bahrain,BHR,0.0,100.0,1710000000000.0,79.25,59.43,0.14,20.19,55291,1119746,119.5,3.63,44383297872.0,4.89,30146.93,42.18,3.17,18152069.0,Not Free,2.0,10.0,12.0
