Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Income share held by highest 10%,SI.DST.10TH.10,United States,USA,27.6,30.3,30.7,30.5,30.4,30.3,30.7,30.8,29.5,30.1,..,..
Income share held by highest 10%,SI.DST.10TH.10,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Albania,ALB,..,..,25.5,24.8,25,24.6,22.7,23.6,22.8,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Angola,AGO,..,40.2,..,..,..,..,39.6,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Argentina,ARG,..,37.7,30.1,..,30.7,30,30.1,31.3,30.6,31.2,29.8,..
Income share held by highest 10%,SI.DST.10TH.10,Armenia,ARM,..,..,25.7,26.7,25.3,28.4,29.2,25.2,21.5,23.6,23,..
Income share held by highest 10%,SI.DST.10TH.10,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Australia,AUS,..,..,27,..,25.8,..,26.6,..,..,..,..,..
Income share held by highest 10%,SI.DST.10TH.10,Austria,AUT,..,22.9,24.1,23.8,23.8,23,23.9,23.2,23.1,23.8,..,..
Income share held by highest 10%,SI.DST.10TH.10,Azerbaijan,AZE,..,..,..,..,..,..,..,..,..,..,..,..
